Qnum;Question;Massnahme;
1.1;Wenn Sie mit Ihrem/Ihrer Vorgesetzten vereinbaren, dass Sie private Verpflichtungen in Zukunft vermehrt vom Arbeitsplatz aus oder in Arbeitspausen erledigen, wo sehen Sie Chancen für eine Verbesserung?;Switchen am Arbeitsplatz zugunsten privater Angelegenheiten;
1.2;Wenn Sie mit Ihren Angehörigen vereinbaren, dass Sie private Verpflichtungen in Zukunft vermehrt vom Arbeitsplatz aus oder in Arbeitspausen erledigen, wo sehen Sie Chancen für eine Verbesserung?;Switchen am Arbeitsplatz zugunsten privater Angelegenheiten;
2.1;Wenn Sie mit Ihrem/Ihrer Vorgesetzten vereinbaren, dass Sie zukünftig weniger berufliche Verpflichtungen von zu Hause aus erledigen, welche Belastungen können Ihrer Meinung nach reduziert werden?;Trennung von Job und Privatleben;
2.2;Wenn Sie mit Ihren Angehörigen vereinbaren, dass Sie zukünftig weniger private Verpflichtungen während der Arbeitszeit erledigen, welche Belastungen können Ihrer Meinung nach reduziert werden?;weniger Switchen am Arbeitsplatz zugunsten privater Angelegenheiten;
3.1;Wenn Sie mit Ihrem/Ihrer Vorgesetzten vereinbaren, dass Sie zukünftig vermehrt von zu Hause aus arbeiten, wo sehen Sie Chancen für eine Verbesserung?;Vereinbarung Home Office mit der vorgesetzten Person;
3.2;Wenn Sie mit Ihren Angehörigen vereinbaren, dass Sie zukünftig vermehrt von zu Hause aus arbeiten, wo sehen Sie Chancen für eine Verbesserung?;Vereinbarung Home Office im privaten Bereich;
4.1;Wenn Sie mit Ihrem/Ihrer Vorgesetzten vereinbaren, dass Sie zukünftig weniger von zu Hause aus arbeiten, welche Belastungen können Ihrer Meinung nach reduziert werden?;Vereinbarung zur Reduktion von Home Office mit der vorgesetzten Person;
4.2;Wenn Sie mit Ihren Angehörigen vereinbaren, dass Sie zukünftig unter veränderten Bedingungen (klare Arbeitszeiten, wenig Störung, ruhiger Arbeitsort, klar abgetrennter Raum, etc.) von zu Hause aus arbeiten, welche Belastungen können Ihrer Meinung nach reduziert werden?;Vereinbarung Home Office im privaten Bereich;
5.1;Wenn Sie mit Ihrem/Ihrer Vorgesetzten vereinbaren, dass Sie Ihre Arbeitszeit zukünftig flexibler und selbstständiger organisieren, wo sehen Sie Chancen für eine Verbesserung?;Flexiblere Arbeitszeiten;
5.2;Wenn Sie mit Ihren Angehörigen vereinbaren, dass Sie Ihre privaten Verpflichtungen zukünftig flexibler organisieren, wo sehen Sie Chancen für eine Verbesserung?;Haus- und Betreuungsarbeiten flexibler gestalten;
6.1;Wenn Sie mit Ihrem/Ihrer Vorgesetzten vereinbaren, dass Sie Ihre Arbeitszeit zukünftig weniger flexibel (regelmässige Arbeitszeiten, klar festgelegte Aufgaben, etc.) organisieren, welche Belastungen können Ihrer Meinung nach reduziert werden?;Weniger flexible Arbeitszeiten;
6.2;Wenn Sie mit Ihren Angehörigen vereinbaren, dass Sie Ihre privaten Verpflichtungen zukünftig geregelter organisieren, welche Belastungen können Ihrer Meinung nach reduziert werden?;Haus- und Betreuungsarbeiten klarer regeln;
