Qnum;Question;Answer1;Answer2;Answer3;Answer4;Answer5
1.1;Finden Sie es in Ordnung, wie viel Zeit Sie pro Woche für die Erwerbsarbeit (incl. Pendeln, Übernachtungen, Pausen und Mittagszeiten) zuständig sind?;Nein, ich möchte gern weniger Zeit dafür verwenden;Ja, es ist gerade richtig;Nein, ich möchte gern mehr Zeit dafür verwenden;;
1.2;Finden Sie es in Ordnung, wie viel Zeit Sie pro Woche für Hausarbeiten wie Putzen, Kochen, Reparieren, Gartenarbeit, Zahlungen, Einkaufen, Waschen etc. verwenden?;Nein, ich möchte gern weniger Zeit dafür verwenden;Ja, es ist gerade richtig;Nein, ich möchte gern mehr Zeit dafür verwenden;;
1.3;Finden Sie es in Ordnung, wie viel Zeit Sie pro Woche für die Kinderbetreuung verwenden?;Nein, ich möchte gern weniger Zeit dafür verwenden;Ja, es ist gerade richtig;Nein, ich möchte gern mehr Zeit dafür verwenden;;
2.1;Wie häufig erledigen Sie während der Arbeitszeit zwischendurch oder zu Randzeiten private Verpflichtungen (z.B. Einkäufe erledigen, Mittagessen zubereiten, Versorgen von Kindern)? ;Oft;Ab und zu;Selten;Nie;
2.2;Wie häufig arbeiten Sie von zu Hause aus?;Oft;Ab und zu;Selten;Nie;
2.3;Wie häufig führen private Verpflichtungen (z.B. Einkäufe erledigen, Mittagessen zubereiten, Versorgen von Kindern) dazu, dass Sie Ihren Arbeitsplatz früher verlassen bzw. später eintreffen?;Oft;Ab und zu;Selten;Nie;
3.1;Ich verbringe genügend Zeit mit meinem/meinen Kind(ern), um zu spielen, basteln, Sport treiben, lesen oder Ähnliches.;Trifft voll und ganz zu;Trifft eher zu;Trifft eher nicht zu;Trifft überhaupt nicht zu;
3.2;Wenn ich mit meinen Kindern spiele, bastle, Sport treibe, lese oder ähliche Tätigkeiten unternehme, bin ich zufrieden.;Trifft voll und ganz zu;Trifft eher zu;Trifft eher nicht zu;Trifft überhaupt nicht zu;
3.3;Ich verbringe genügend Zeit zu zweit mit meiner Partnerin/meinem Partner.;Trifft voll und ganz zu;Trifft eher zu;Trifft eher nicht zu;Trifft überhaupt nicht zu;
3.4;Ich bin zufrieden mit der Zeit, welche ich mit meiner Partnerin/meinem Partner zu zweit verbringe. ;Trifft voll und ganz zu;Trifft eher zu;Trifft eher nicht zu;Trifft überhaupt nicht zu;
